OID,BCR_NAME,STATE,MANAGING_A,MANAGEMENT,COMMON_NAM,LMVJV_UNIT,ACRES,HECTARES,HABITAT_TY,COVER_TYPE,Z_HARVESTE,Z_RED_OAK_,FUNCTIONAL,MANAGE,PROTECTION,SEEDINDEX,WTRCNTRL,PUMP,DEDCALC,OWNER,STAT_CORR,FIXID
-1,WGCP,AR,AGFC,Harris Brake WMA,Harris Brake Lower GTR,,488.454277055278000,197.670607564392210,woody wetlands,woody wetlands,0.000000000000000,30.000000000000000,Y,,,,,,,PUBLIC,,1
-1,WGCP,AR,AGFC,Sulphur River WMA,Henry Moore WRA South Unit,,1307.917754646460000,529.296004456857300,woody wetlands,woody wetlands,0.000000000000000,30.000000000000000,Y,,,,,,,PUBLIC,,2
-1,WGCP,AR,AGFC,Sulphur River WMA,Henry Moore WRA North Unit,,74.769254664589397,30.258070593194024,woody wetlands,woody wetlands,0.000000000000000,29.000000000000000,Y,,,,,,,PUBLIC,,3
-1,WGCP,AR,AGFC,Ozan WMA,East Unit,,158.256954141069000,64.044373743532645,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,4
-1,WGCP,AR,AGFC,Ozan WMA,West Unit,,109.121300547339000,44.159862633300428,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,5
-1,WGCP,AR,AGFC,Petit Jean WMA,Santa Fe GTR,,655.449369387868960,265.251183500099100,woody wetlands,woody wetlands,0.000000000000000,29.000000000000000,Y,,,,,,,PUBLIC,,6
-1,WGCP,AR,AGFC,Petit Jean WMA,Pullen Pond,,277.760045736965990,112.405601869109820,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,7
-1,WGCP,AR,AGFC,Petit Jean WMA,Kingfisher,,220.154122172361010,89.093291085444093,woody wetlands,woody wetlands,0.000000000000000,0.000000000000000,N,,,,,,,PUBLIC,,8
-1,WGCP,AR,AGFC,Petit Jean WMA,Blackland MSU 1,,19.554036492794300,7.913244812122954,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,9
-1,WGCP,AR,AGFC,Petit Jean WMA,Blackland MSU 2,,112.574107232600990,45.557165159532367,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,10
-1,WGCP,AR,AGFC,Petit Jean WMA,Alvey Mountain/Slaty GTR,,111.518636898664990,45.130031091973137,woody wetlands,shrub swamp,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,11
-1,WGCP,AR,AGFC,Petit Jean WMA,Slaty Crossing MSU,,43.293974797492801,17.520465484898171,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,12
-1,WGCP,AR,AGFC,Harris Brake WMA,Harris Brake Upper GTR,,206.290959136689990,83.483063089190523,woody wetlands,shrub swamp,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,13
-1,WGCP,AR,AGFC,Galla Creek WMA,Galla Creek GTR,,411.786237756327010,166.644125412656960,moist-soil,moist-soil,0.000000000000000,0.000000000000000,N,,,,,,,PUBLIC,,14
-1,WGCP,AR,AGFC,Dardanelle WMA,Carbon City/Bob Young WRA,,55.410373406710399,22.423802372468003,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,15
-1,WGCP,AR,AGFC,Dardanelle WMA,McKennon Bottoms MSU,,46.655001952751000,18.880626120250991,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,16
-1,WGCP,AR,AGFC,Ozark Lake WMA,Dyer Lake MSU 3,,21.550564505499899,8.721211747472733,open-aquatic,open-aquatic,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,17
-1,WGCP,AR,AGFC,Ozark Lake WMA,Dyer Lake MSU 4,,11.980575195814000,4.848371053693184,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,18
-1,WGCP,AR,AGFC,Ozark Lake WMA,Dyer Lake MSU 2,,20.281043787479302,8.207454486179849,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,19
-1,WGCP,AR,AGFC,Ozark Lake WMA,Dyer Lake MSU 1,,22.990316119907600,9.303859069300927,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,20
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 7,,37.793335698351903,15.294433850423237,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,21
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 6,,85.815685695147593,34.728406581226501,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,22
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 5,,25.241191212740699,10.214756707119182,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,23
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 4,,23.330453125304999,9.441507753467178,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,24
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 3,,62.272045624083802,25.200625055427977,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,25
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 2,,7.288541203070020,2.949570585305594,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,26
-1,WGCP,AR,AGFC,Frog Bayou WMA,MSU 8,,4.402566249255250,1.781656925146110,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,27
-1,WGCP,AR,AGFC,Frog Bayou WMA,Unit 1,,40.413274667434798,16.354686472065520,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,28
-1,WGCP,AR,AGFC,Fort Chaffee WMA,Ft. Chaffee WRA,,42.402606341375197,17.159741149865763,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,29
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Teeny Pond MSU,,89.957568575324899,36.404568596473929,woody wetlands,woody wetlands,0.000000000000000,70.000000000000000,Y,,,,,,,PUBLIC,,30
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Turkey Pond MSU,,342.926482595798010,138.777546535763120,woody wetlands,woody wetlands,0.000000000000000,10.000000000000000,Y,,,,,,,PUBLIC,,31
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Mud Pond MSU,,42.335049034447501,17.132401653554421,woody wetlands,shrub swamp,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,32
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Race Track MSU,,19.807734620607199,8.015912892675045,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,33
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Remmel Marsh MSU,,54.025663241261000,21.863429554452949,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,34
-1,WGCP,AR,AGFC,Ed Gordon Point Remove WMA,Bobby's Pond MSU,,55.500109576293497,22.460117343991911,moist-soil,moist-soil,0.000000000000000,0.000000000000000,Y,,,,,,,PUBLIC,,35
